"protein_group","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_control_vs_infected","differential_abundance_qvalue_control_vs_infected","log_ratios_control_vs_infected"
"sp|A2AQ07|TBB1_MOUSE",NA,NA,NA,-19.2930853494,NA,-18.6467561289,10,9,7,10,12,15,NA,NA,NA
"sp|A3KMP2|TTC38_MOUSE",NA,-19.2453681439,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|B2RSH2|GNAI1_MOUSE",NA,NA,-18.2917054523,NA,NA,NA,4,4,4,3,4,4,NA,NA,NA
"sp|C0HKE1|H2A1B_MOUSE",NA,NA,NA,-15.1709041136,NA,NA,33,41,24,23,26,36,NA,NA,NA
"sp|D0QMC3|MNDAL_MOUSE",-19.1985282974,-18.8388379626,-19.0692034095,NA,NA,NA,2,3,2,3,1,2,NA,NA,NA
"sp|D3YXK2|SAFB1_MOUSE",NA,-19.9814672124,-19.4607086114,NA,NA,NA,3,3,1,2,2,1,NA,NA,NA
"sp|D3Z6Q9|BIN2_MOUSE",NA,NA,NA,NA,-17.5164307656,NA,5,4,2,4,3,4,NA,NA,NA
"sp|E9PV24|FIBA_MOUSE",-19.9041144439,-19.7027188126,NA,NA,NA,-19.6868614088,2,1,1,2,2,2,NA,NA,NA
"sp|E9PVA8|GCN1_MOUSE",NA,-21.5712811249,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"sp|E9Q7G0|NUMA1_MOUSE",-21.3023015358,NA,NA,NA,-20.8641736255,-21.5985670275,8,8,10,7,7,11,NA,NA,NA
"sp|F6ZDS4|TPR_MOUSE",-20.360087531,-21.2105005562,NA,-20.9398946316,-21.0739407872,-20.3494930454,7,5,2,6,4,4,0.934608150470219,0.933962264150943,0.00248211113333241
"sp|O08547|SC22B_MOUSE",-17.9113183938,NA,NA,NA,NA,NA,2,1,2,NA,1,2,NA,NA,NA
"sp|O08553|DPYL2_MOUSE",-19.21766582,NA,-18.4565620113,NA,-18.6252006173,NA,3,4,2,2,2,2,NA,NA,NA
"sp|O08573|LEG9_MOUSE",NA,NA,NA,NA,-18.3092452258,NA,1,1,1,1,2,1,NA,NA,NA
"sp|O08583|THOC4_MOUSE",-16.3654970942,-17.4622141477,-17.4567399063,-17.6530448266,-17.8027400131,-17.7477398871,2,2,2,2,2,2,0.132648902821317,0.709677419354839,0.639691192866668
"sp|O08692|NGP_MOUSE",-14.29714423,-13.8844155985,-14.6446886881,-15.1075175751,-15.1779598235,-15.2046280282,16,18,16,15,14,13,0.0387319749216301,0.55,0.887952303400001
"sp|O08709|PRDX6_MOUSE",-16.8900871533,-16.6914507547,-16.1969546176,-17.6179707106,-17.8059921801,-16.9180645489,8,7,4,6,5,7,0.0532758620689655,0.583333333333333,0.854511637999998
"sp|O08784|TCOF_MOUSE",NA,-19.4629695267,NA,-20.1426167872,NA,NA,6,5,4,5,4,7,NA,NA,NA
"sp|O08795|GLU2B_MOUSE",NA,-19.0271617511,-18.551585386,NA,-18.7194909949,-18.9851556766,2,2,2,3,4,2,0.822344827586207,0.929712460063898,0.0629497672000028
"sp|O08810|U5S1_MOUSE",-20.0672857142,-19.8569440881,-19.5485338618,-19.3519570741,NA,-18.7450054548,4,5,5,4,5,6,0.0718432601880878,0.583333333333333,-0.775773290250001
"sp|O09106|HDAC1_MOUSE",-18.7911974269,-18.8375658267,-18.3157426523,-18.760437399,NA,NA,5,4,3,5,4,6,NA,NA,NA
"sp|O35129|PHB2_MOUSE",NA,-18.448247112,-18.0902400914,-18.1441373978,-17.192186014,NA,6,5,5,3,6,5,0.165735109717868,0.741573033707865,-0.601081895799997
"sp|O35286|DHX15_MOUSE",NA,NA,NA,-19.2440425103,NA,-18.2592562273,5,4,2,4,4,6,NA,NA,NA
"sp|O35326|SRSF5_MOUSE",NA,-18.2429513298,NA,-17.7946939923,-18.2544239474,NA,1,1,NA,2,1,1,NA,NA,NA
"sp|O35350|CAN1_MOUSE",NA,NA,NA,NA,NA,-19.723669129,3,3,3,3,3,5,NA,NA,NA
"sp|O35405|PLD3_MOUSE",-18.8326827667,-19.03921831,NA,NA,NA,NA,2,2,2,1,NA,1,NA,NA,NA
"sp|O35639|ANXA3_MOUSE",-18.2706176516,NA,NA,NA,NA,NA,4,6,3,3,3,4,NA,NA,NA
"sp|O35643|AP1B1_MOUSE",NA,NA,NA,-18.8888951756,NA,NA,1,2,5,2,4,2,NA,NA,NA
"sp|O35685|NUDC_MOUSE",NA,NA,NA,NA,NA,-18.5244340749,NA,2,1,NA,2,1,NA,NA,NA
"sp|O35737|HNRH1_MOUSE",NA,NA,NA,NA,-18.1623213175,NA,3,2,2,2,2,2,NA,NA,NA
"sp|O35744|CHIL3_MOUSE",-18.7423539513,NA,NA,NA,NA,NA,6,5,6,4,5,5,NA,NA,NA
"sp|O35892|SP100_MOUSE",-19.2976301663,NA,-19.0842709403,NA,NA,-19.4102268413,4,4,2,4,3,5,NA,NA,NA
"sp|O35955|PSB10_MOUSE",-18.395421262,NA,NA,-17.8947320951,-17.7855840243,NA,3,2,2,2,2,2,NA,NA,NA
"sp|O54734|OST48_MOUSE",-17.2546356525,-17.8259921125,-18.5216118288,-17.2990558823,-17.0433392388,-17.2322422096,6,5,4,4,5,5,0.116493730407524,0.709677419354839,-0.675867421033335
"sp|O54824|IL16_MOUSE",-20.1371650589,-19.0448880765,-18.7895946958,-18.8815495119,-20.0402182822,-19.9904879881,4,5,5,4,4,5,0.430181818181818,0.81875,0.313535983666664
"sp|O55023|IMPA1_MOUSE",-18.0905995572,-17.801008026,-17.6309433233,-16.76969665,-17.8559298061,-18.1139869147,7,4,5,5,4,6,0.491186520376176,0.828877005347594,-0.260979178566668
"sp|O55029|COPB2_MOUSE",NA,-20.1482166343,NA,-19.6359976917,NA,NA,2,3,1,3,4,3,NA,NA,NA
"sp|O55098|STK10_MOUSE",NA,-19.7889508791,-19.6700218072,-19.7481509666,-19.7219980425,-19.8114416717,1,1,1,1,2,1,0.873913793103448,0.929712460063898,0.0310438837833331
"sp|O55131|SEPT7_MOUSE",-18.463597776,-18.2709129972,-18.1245949316,-17.4815002646,-18.1348746549,-18.6915480225,7,6,4,7,3,7,0.606352664576802,0.908256880733945,-0.1837275876
"sp|O55137|ACOT1_MOUSE",-19.0434992359,NA,NA,NA,-19.060791391,NA,1,2,1,2,2,2,NA,NA,NA
"sp|O55142|RL35A_MOUSE",-16.841944743,NA,NA,-16.7307378625,-16.7748570386,NA,6,6,3,5,6,7,NA,NA,NA
"sp|O70133|DHX9_MOUSE",-17.7493279227,-17.8498026994,-18.3023002745,-20.1794257112,-18.6621968246,-17.9745838863,16,12,11,11,9,13,0.0469169278996865,0.56,0.971591841833334
"sp|O70145|NCF2_MOUSE",NA,-19.327829413,NA,-18.9818667638,NA,-19.5105660025,1,2,1,2,2,2,NA,NA,NA
"sp|O70172|PI42A_MOUSE",NA,-19.1196740209,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA
"sp|O70194|EIF3D_MOUSE",-18.7933775832,NA,NA,NA,-18.4571863269,NA,3,NA,NA,2,1,1,NA,NA,NA
"sp|O70325|GPX4_MOUSE",NA,NA,NA,NA,-17.3774164856,NA,2,2,2,1,2,1,NA,NA,NA
"sp|O70435|PSA3_MOUSE",NA,NA,NA,-17.5611017098,-17.516461277,-18.1977065123,5,4,3,5,2,4,NA,NA,NA
"sp|O70493|SNX12_MOUSE",-17.83875892,-17.8585142465,-17.5156303375,-17.3800045237,NA,-17.9232263546,1,1,1,1,1,1,0.78632131661442,0.929712460063898,-0.0860190621833326
"sp|O88342|WDR1_MOUSE",-19.0650678563,-19.2360505386,NA,-18.186773937,NA,-18.3495214447,9,9,8,10,7,8,0.0361912225705329,0.55,-0.8824115066
"sp|O88569|ROA2_MOUSE",-15.5908023592,-15.9500199397,-15.9387181051,-16.0104932145,-15.6373247805,-15.5864712732,19,18,17,16,15,15,0.789995297805643,0.929712460063898,-0.0817503786000007
"sp|O88593|PGRP1_MOUSE",-16.903947966,-16.9053501462,NA,NA,NA,-16.883576835,2,2,1,1,1,2,NA,NA,NA
"sp|O88668|CREG1_MOUSE",NA,NA,-17.2863110298,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA
"sp|O88844|IDHC_MOUSE",-18.1733897196,NA,NA,NA,NA,NA,5,0,1,1,1,2,NA,NA,NA
"sp|O88958|GNPI1_MOUSE",-18.3222769017,-18.3443160831,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|O89053|COR1A_MOUSE",-15.1164707881,-14.9316239995,-14.851789781,-15.11630852,-15.4284204821,-15.4620990797,27,26,24,21,22,20,0.314009404388715,0.797385620915033,0.368981171066666
"sp|O89086|RBM3_MOUSE",-17.3870270008,NA,NA,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA
"sp|P00920|CAH2_MOUSE",NA,NA,-17.6493709387,NA,NA,NA,3,3,3,1,2,3,NA,NA,NA
"sp|P01831|THY1_MOUSE",-16.5570280922,-16.3231259618,-17.3046454349,-17.5446018325,-17.4771690748,-17.6408931379,2,2,3,2,2,2,0.0581771159874608,0.583333333333333,0.825954852100001
"sp|P01872|IGHM_MOUSE",-16.8294007181,-16.7172834705,-16.4224961592,-16.0196055053,-16.3088454026,-16.556804488,8,6,7,8,9,9,0.334221003134796,0.797385620915033,-0.361308317300001
"sp|P01887|B2MG_MOUSE",-17.1654567488,-16.8755683924,NA,NA,-17.0641048714,NA,2,2,2,1,2,2,NA,NA,NA
"sp|P01902|HA1D_MOUSE",-17.504961274,-17.3363552339,-17.0785106734,-17.1416994093,-17.3060016067,-17.3963741941,7,6,6,6,7,7,0.88551880877743,0.929712460063898,-0.0252506570666675
"sp|P01915|HB22_MOUSE",NA,-18.1913797593,NA,-17.9280611576,NA,-18.1925077322,5,5,4,5,5,6,NA,NA,NA
"sp|P01921|HB2D_MOUSE",NA,NA,NA,NA,-17.0596769845,-18.2580612153,4,4,3,6,4,4,NA,NA,NA
"sp|P01942|HBA_MOUSE",-15.4536075232,-15.4992368783,-15.0127247413,-15.3465476936,-15.401433786,-15.5617146028,7,5,5,5,4,6,0.71562539184953,0.926530612244898,0.114708979866666
"sp|P02088|HBB1_MOUSE",-15.8868619191,-15.8357533914,-14.9808681161,-16.3170204692,-16.2957977846,-15.9067118702,21,18,17,12,13,15,0.143523510971787,0.714285714285714,0.605348899133332
"sp|P02089|HBB2_MOUSE",-17.3142003336,-17.0127365492,-16.5399377197,-17.2674775592,-17.1683236522,NA,24,21,19,13,14,17,0.472981191222571,0.827777777777778,0.262275738200003
"sp|P02301|H3C_MOUSE",NA,-16.6278300118,NA,NA,NA,NA,1,1,1,1,1,17,NA,NA,NA
"sp|P02535|K1C10_MOUSE",-17.9716752264,-17.7147368113,-17.1039499185,-17.7955056113,NA,-18.3063498487,3,4,7,4,2,2,0.252575235109718,0.754901960784314,0.454140411266664
"sp|P04104|K2C1_MOUSE",NA,NA,-17.2628201731,NA,NA,NA,3,6,6,5,2,2,NA,NA,NA
"sp|P04228|HA2D_MOUSE",NA,NA,NA,NA,NA,-17.7990287038,3,2,2,3,4,4,NA,NA,NA
"sp|P04919|B3AT_MOUSE",NA,NA,NA,NA,-19.8097680002,NA,5,4,3,7,5,7,NA,NA,NA
"sp|P05064|ALDOA_MOUSE",-17.457248776,-18.3541498857,-16.9723029532,-17.1751574122,-18.3625823256,-17.3634322518,12,11,10,9,10,13,0.869283699059561,0.929712460063898,0.0391567915666684
"sp|P05202|AATM_MOUSE",-17.7140615237,-18.2579182537,-17.3410431261,-17.9826514109,-18.0885066718,-18.3534895134,7,6,4,2,2,3,0.335490595611285,0.797385620915033,0.3705415642
"sp|P05555|ITAM_MOUSE",-19.2053218776,-19.1301333661,-20.176584325,-18.5390250169,-19.1133059124,-19.3491584201,5,4,3,5,2,4,0.219547021943574,0.754901960784314,-0.503516739766667
"sp|P06151|LDHA_MOUSE",-16.4563786487,-16.3653077592,-16.6017761093,-17.6727731488,-16.1726101329,-17.2516923158,17,12,14,10,13,11,0.184369905956113,0.741573033707865,0.557871026766669
"sp|P06800|PTPRC_MOUSE",-17.6408215327,-18.6639614704,-17.5891912642,-18.0928200998,-17.9717544417,-17.8665808381,19,18,15,15,16,17,0.917324451410658,0.929712460063898,0.0123937041000026
"sp|P07356|ANXA2_MOUSE",-17.2567263135,-17.9959891149,-17.8174113726,-18.1874906226,-18.0179510929,-17.1886932988,4,5,5,4,5,7,0.747073667711599,0.929712460063898,0.108002737766668
"sp|P07724|ALBU_MOUSE",-18.4706364525,-19.8425734659,-19.2517814094,-17.9062671558,-18.3748367527,-18.7328963019,6,3,3,4,2,4,0.0613087774294671,0.583333333333333,-0.850330372466665
"sp|P07901|HS90A_MOUSE",-17.7415803454,-17.2348913096,-16.715612233,-16.3730465722,-17.1776913437,-18.877124219,25,26,22,25,25,27,0.551692789968652,0.875621890547264,0.245259415633335
"sp|P08003|PDIA4_MOUSE",-18.9422042122,-18.9125054551,-19.0016924956,-19.078430714,-19.3909725048,NA,8,5,4,11,8,11,0.420811912225705,0.815286624203822,0.282567555099998
"sp|P08071|TRFL_MOUSE",-16.8304872181,-15.8671980543,-16.3132953351,-16.4523021939,-17.1185930311,-17.3267381756,18,25,17,15,16,20,0.13787460815047,0.709677419354839,0.628884264366668
"sp|P08113|ENPL_MOUSE",-18.8102837317,-19.1374098481,-17.3429473831,-17.1664913041,-16.6794697664,-18.2553839544,13,14,11,17,14,15,0.0334169278996865,0.55,-1.063098646
"sp|P08228|SODC_MOUSE",-15.1240271431,-15.6143090898,-14.8083353296,-15.0060222751,-15.4648185283,-15.5496982587,7,7,6,5,8,5,0.643974921630094,0.926530612244898,0.157955833199999
"sp|P08249|MDHM_MOUSE",-15.0231751359,-15.1150554332,-15.2590868919,-15.194197188,-14.9882697632,-15.5717094483,14,12,11,11,11,11,0.707083072100314,0.926530612244898,0.1189529795
"sp|P08556|RASN_MOUSE",NA,NA,NA,NA,NA,-17.7917200142,1,1,NA,NA,NA,1,NA,NA,NA
"sp|P09103|PDIA1_MOUSE",NA,-19.211926489,-18.9731800777,-17.7204790912,-18.058596039,-17.913892611,11,12,9,9,11,11,0.0103166144200627,0.5,-1.19489736961667
"sp|P09405|NUCL_MOUSE",-17.6572033337,-16.6365448743,-16.666519888,-18.4750211236,-19.1377276865,-19.2984106319,30,26,20,21,19,23,0.000957680250783699,0,1.98363044866667
"sp|P0C0S6|H2AZ_MOUSE",-16.5700273251,-16.3498365003,-16.1503892361,-16.4262389731,-15.5170544099,-16.5575503645,29,37,20,21,22,32,0.595166144200627,0.904761904761905,-0.189803104666666
"sp|P0CG49|UBB_MOUSE",-15.7179762805,-14.642708967,-15.229884124,NA,-14.7785797864,NA,16,14,15,14,15,16,NA,NA,NA
"sp|P0DOV1|IFI5B_MOUSE",NA,NA,NA,NA,NA,-18.8319804935,2,2,1,1,1,1,NA,NA,NA
"sp|P0DP26|CALM1_MOUSE",NA,-17.0087681803,-16.8700253835,NA,-17.1804048749,NA,3,3,3,3,2,3,NA,NA,NA
"sp|P10107|ANXA1_MOUSE",-16.2711063812,-16.7660401688,-17.230247888,-16.8013617149,-16.2593167272,-16.134445075,9,7,7,8,9,8,0.353495297805643,0.797385620915033,-0.357423640299999
"sp|P10126|EF1A1_MOUSE",-16.0887286851,-17.2125590569,-16.8578450568,-17.0136478191,-16.4244192654,-16.342756415,17,16,17,20,19,22,0.707399686520376,0.926530612244898,-0.126103099766667
"sp|P10518|HEM2_MOUSE",-18.4838328809,NA,-18.3105696346,NA,NA,-18.3732324676,2,2,2,3,2,2,NA,NA,NA
"sp|P10605|CATB_MOUSE",NA,NA,NA,NA,-18.9411589564,NA,2,2,1,1,1,1,NA,NA,NA
"sp|P10630|IF4A2_MOUSE",NA,NA,-17.8814512695,NA,NA,NA,3,3,2,3,3,4,NA,NA,NA
"sp|P10639|THIO_MOUSE",-16.4558141451,NA,NA,NA,NA,-15.9862282278,3,2,1,4,3,4,NA,NA,NA
"sp|P10853|H2B1F_MOUSE",-13.0517060336,-12.647540609,-12.6551082429,-12.7354570215,-12.7234599257,-12.8954818234,90,102,72,63,66,85,0.938645768025078,0.93730407523511,1.46283666673241e-05
"sp|P10922|H10_MOUSE",NA,-17.4238623536,-17.2107131521,-17.4006865388,-17.5128471923,-17.7315145866,3,2,2,3,3,3,0.508844827586207,0.832460732984293,0.231061686383335
"sp|P11031|TCP4_MOUSE",-15.6791150071,-15.61664751,-15.3275150722,-16.3708005886,-15.4684865278,-15.7727075836,5,5,3,3,4,4,0.380420062695925,0.797385620915033,0.329572370233334
"sp|P11032|GRAA_MOUSE",-16.2889409951,NA,-16.7405949607,-15.9620779434,-15.9882044391,-16.1364636497,7,4,4,7,9,8,0.207598746081505,0.741573033707865,-0.485852633833332
"sp|P11103|PARP1_MOUSE",NA,NA,NA,NA,-19.8207714064,-18.8006153433,6,6,4,3,4,4,NA,NA,NA
"sp|P11247|PERM_MOUSE",-17.2358776595,-17.994626223,-16.8892673277,-17.0635973886,-17.5081669904,-16.9716880087,19,19,14,12,18,18,0.59171473354232,0.904306220095694,-0.192106274166669
"sp|P11352|GPX1_MOUSE",NA,-16.4716788721,-17.2788010039,-16.3897649962,-16.3623208981,NA,6,5,5,6,5,5,0.221650470219436,0.754901960784314,-0.499196990850002
"sp|P11438|LAMP1_MOUSE",-18.9150530053,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA
"sp|P11499|HS90B_MOUSE",-16.8838920552,-16.7355169587,-17.9197162081,-16.9499718502,-16.7020087798,-16.7787438753,14,13,10,14,30,29,0.345948275862069,0.797385620915033,-0.369466905566664
"sp|P11835|ITB2_MOUSE",-19.0588040283,-19.1936850678,-19.5881551182,-19.1710158423,-19.1454161306,-19.4812748911,7,7,5,9,6,6,0.911286833855799,0.929712460063898,-0.0143124501000003
"sp|P11983|TCPA_MOUSE",-17.5814130829,-18.88258068,-17.4854900871,-17.3115751255,-18.0481966791,-18.1515878754,9,9,10,12,8,13,0.68142789968652,0.926530612244898,-0.146041390000001
"sp|P12787|COX5A_MOUSE",NA,NA,NA,NA,NA,-16.8585392187,1,1,1,2,1,2,NA,NA,NA
"sp|P12970|RL7A_MOUSE",NA,NA,NA,NA,NA,-17.6765735431,5,6,5,5,5,6,NA,NA,NA
"sp|P13020|GELS_MOUSE",-18.1172979101,-18.2953707185,-19.441748473,-19.3176837863,-19.281895419,-19.4251575008,9,8,8,8,8,9,0.0967648902821317,0.709677419354839,0.723439868166668
"sp|P13864|DNMT1_MOUSE",-21.0546291174,NA,NA,-20.6301485377,NA,NA,3,1,NA,3,4,3,NA,NA,NA
"sp|P14115|RL27A_MOUSE",-15.8864912688,-15.2238199565,-15.2088589837,-15.073910972,-15.7472239013,-15.3578294746,7,6,7,6,5,6,0.851866771159875,0.929712460063898,-0.046735287033334
"sp|P14131|RS16_MOUSE",-15.9537130476,-15.3365827179,-15.4833598494,-15.0655697739,-15.3683015209,-15.2279868254,10,8,7,7,6,9,0.3205,0.797385620915033,-0.3705991649
"sp|P14148|RL7_MOUSE",-16.02506311,-16.7504082497,-18.0531946071,-17.6855453305,-17.1027947377,-17.7414549252,11,9,6,10,10,8,0.197965517241379,0.741573033707865,0.567043008866666
"sp|P14152|MDHC_MOUSE",-16.6115042414,-16.6994075127,-15.4098870457,-16.2207485049,-17.3665436239,-16.7262289797,11,9,9,6,4,6,0.210443573667712,0.741573033707865,0.530907436233335
"sp|P14206|RSSA_MOUSE",-18.1963008657,NA,NA,-18.1882366742,-18.4058123844,-17.4669392949,5,4,4,5,4,4,NA,NA,NA
"sp|P14211|CALR_MOUSE",-16.7410328223,-16.0902314319,-18.4223096392,-16.8565192196,-16.8424078982,-16.9101969881,12,12,12,14,14,15,0.585010971786834,0.904306220095694,-0.214816595833334
"sp|P14685|PSMD3_MOUSE",-18.9473365213,NA,NA,-17.8870303759,-19.0094862227,-18.9704480297,2,2,1,3,4,5,NA,NA,NA
"sp|P14733|LMNB1_MOUSE",-15.6629480049,-15.288819249,-15.428420806,-15.7326306964,-15.8177615045,-15.8969429678,28,32,32,25,24,32,0.327540752351097,0.797385620915033,0.355715702933333
"sp|P14824|ANXA6_MOUSE",-17.9455591619,-18.3412223437,-16.5743552804,-17.2094437619,-17.5350216703,-17.1390200084,24,23,19,20,16,20,0.410851097178683,0.798701298701299,-0.325883781800002
"sp|P14869|RLA0_MOUSE",-16.7618307875,-16.6659579547,-16.3999520747,-16.5925516215,-16.7207507634,-16.7803962146,4,5,3,5,4,5,0.769587774294671,0.929712460063898,0.0886525941999992
"sp|P15379|CD44_MOUSE",-19.4035234101,-19.2161385367,-18.9080642924,-19.3937356781,-19.5593256176,-19.213433091,1,1,1,1,1,1,0.545111285266458,0.875621890547264,0.212922715833333
"sp|P15702|LEUK_MOUSE",NA,-18.4270183937,-18.2776379769,NA,-18.1673462467,-18.3225648097,1,1,1,1,1,1,0.725708463949843,0.929712460063898,-0.107372657099997
"sp|P15864|H12_MOUSE",-16.4784342431,-15.9410359268,-15.1179127853,-15.858980836,-15.9481566011,-18.1012366316,37,48,47,35,43,41,0.104252351097179,0.709677419354839,0.790330371166668
"sp|P16045|LEG1_MOUSE",-17.0178714461,-15.7751968399,NA,-14.9620869692,-15.4730708587,-17.1749829611,6,6,6,6,5,7,0.255460815047022,0.758928571428571,-0.526487213333334
"sp|P16110|LEG3_MOUSE",-18.2649610242,-18.1371378459,NA,NA,-17.642854771,-17.8673018766,2,1,1,3,2,2,0.234929467084639,0.754901960784314,-0.445971111250003
"sp|P16330|CN37_MOUSE",-18.7029281083,NA,NA,-17.5129535677,-18.5428963194,-18.8266526787,2,2,1,5,2,5,NA,NA,NA
"sp|P16381|DDX3L_MOUSE",NA,-19.4887392902,-18.8896323662,-18.8580745149,NA,NA,5,4,2,3,2,4,NA,NA,NA
"sp|P16460|ASSY_MOUSE",NA,NA,NA,NA,-18.7554203101,-18.8746455181,1,1,1,1,1,1,NA,NA,NA
"sp|P16546|SPTN1_MOUSE",-21.3351515417,-19.2353803248,-19.8947657029,-20.0264530618,-21.2079665468,-21.3750798145,17,17,12,14,10,16,0.129554858934169,0.709677419354839,0.714733951233335
"sp|P16858|G3P_MOUSE",-16.2337876054,-18.4346811866,-18.0832198068,NA,-17.4273500171,-18.2473591209,9,9,6,5,6,5,0.552278996865204,0.875621890547264,0.253458369400001
"sp|P17095|HMGA1_MOUSE",NA,-16.6322340605,NA,NA,-16.6819599414,-16.7113969014,2,4,3,3,3,3,NA,NA,NA
"sp|P17182|ENOA_MOUSE",-16.2478297224,-16.5248057179,-17.0003883795,-16.3303172565,-16.6419333203,-16.5639181046,18,17,16,13,14,14,0.795006269592476,0.929712460063898,-0.0789517128000021
"sp|P17225|PTBP1_MOUSE",-18.2100000608,-17.9943562711,-17.8207769326,-17.7658338014,-18.7833434581,-17.7528947944,10,10,7,9,8,9,0.776730407523511,0.929712460063898,0.0923129297999985
"sp|P17665|COX7C_MOUSE",-15.7178269073,NA,NA,NA,NA,-15.5899306612,1,1,NA,NA,1,1,NA,NA,NA
"sp|P17710|HXK1_MOUSE",-18.7689784788,NA,NA,-20.0011226593,NA,-18.8097059889,9,6,5,5,4,6,NA,NA,NA
"sp|P17742|PPIA_MOUSE",-14.3600305353,-14.9054917987,-14.4062453995,-15.5061902206,-15.2215977506,-15.2997689322,14,13,10,9,10,11,0.0618949843260188,0.583333333333333,0.785263056633333
